"date","Topic 1: Central Banks","Topic 2: News","Topic 3: Emerging Markets","Topic 4: Eurozone","Topic 5: Private Investment","Topic 6: Miscellaneous","Topic 7: Financial Markets","Topic 8: Companies","Topic 9: German Politics","Topic 10: Raw Materials"
2016-09-01,9655,5867,1449,5794,4131,3848,5974,1014,1536,1658
2016-10-01,6610,5642,2363,6640,4114,5118,6638,1736,1812,2306
2016-11-01,7339,5555,1792,8565,4596,5043,11736,1845,1849,4855
2016-12-01,7821,6656,2056,7240,3552,6300,7870,1791,1902,2734
2017-01-01,11006,10157,2114,9704,6080,7734,14020,2329,2738,4792
2017-02-01,6307,8179,1840,9402,4964,5552,8365,1973,2718,3101
2017-03-01,9201,7293,1572,6792,5991,4923,8713,1752,1874,2985
2017-04-01,6875,5988,1878,5954,3809,4345,7317,1503,2211,5500
2017-05-01,4666,7465,1311,5827,3708,3962,6104,1468,1559,4349
2017-06-01,8079,5733,1846,8798,3282,5991,6487,1915,1494,2410
2017-07-01,8346,6622,1437,5425,4193,4871,7985,1672,1138,2080
2017-08-01,8867,6457,1552,5332,3968,5550,7843,2260,2569,2632
2017-09-01,8180,8083,3333,6569,4693,5871,7298,2522,1847,2345
2017-10-01,8568,6053,357,5733,4363,4136,5850,1256,1897,1760
2017-11-01,8435,7220,556,6979,4554,8053,5988,2976,3061,3474
2017-12-01,4767,7158,441,3460,7688,4752,6666,1506,955,2830
2018-01-01,8714,12219,8190,9722,5748,5473,14989,3666,3619,4248
2018-02-01,8985,10364,1472,6573,8203,4866,19439,4789,2545,4215
2018-03-01,7147,6233,1826,6868,3678,7271,10398,2086,2474,4594
2018-04-01,5857,4524,978,2415,2710,8710,11833,2884,2591,3183
2018-05-01,5343,7216,4212,7693,4465,4632,7504,3247,3205,7161
2018-06-01,11116,9881,5257,6433,4592,7218,6942,2406,3782,9668
2018-07-01,7985,12006,2874,4577,6223,6698,9993,2944,3866,9035
2018-08-01,10440,7043,4246,6058,5425,5946,11015,2551,1655,17881
2018-09-01,7503,11234,2331,7249,3901,6466,8628,4445,3422,8312
2018-10-01,8635,9800,4517,5369,7521,7756,10128,3306,5432,5910
2018-11-01,6762,7429,4154,4382,7158,7408,9994,3707,3447,3384
2018-12-01,6984,4247,878,2315,3716,3203,5041,1431,688,1467
2019-01-01,3997,2775,1147,3360,2821,3311,6106,717,1366,1876
2019-02-01,2999,5693,1782,2844,2089,4150,2484,1303,1896,3062
2019-03-01,7120,5009,1329,3275,3086,6058,5513,1284,2090,2665
2019-04-01,5823,6965,1252,4049,3023,5626,6891,1674,1640,3958
2019-05-01,4645,5040,1924,3276,3252,6804,4441,1252,1714,2640
2019-06-01,9155,7553,1986,2904,2990,5550,8864,1151,1447,3111
2019-07-01,13713,7193,1252,4516,6590,6298,9912,1545,1667,4745
2019-08-01,10364,7432,2301,4905,6995,6362,9083,2310,1916,3713
2019-09-01,11788,6140,1530,4418,5234,7691,4481,1990,2156,3135
2019-10-01,7769,6066,1457,4256,4306,7313,5176,1818,1545,4820
2019-11-01,4418,4895,1024,2508,4923,3753,3840,648,859,1753
2019-12-01,8185,7368,1694,4080,4922,6421,5740,1785,1442,2410
2020-01-01,7356,6226,1979,3715,5467,5633,7674,1955,1616,3354
2020-02-01,6902,4558,1198,3087,4531,6003,6544,1431,1439,3625
2020-03-01,3882,2892,632,2077,2856,4042,3864,727,629,725
2020-04-01,4444,3433,838,2878,3700,4997,6872,918,782,1912
2020-05-01,8002,4591,1114,4773,3226,4792,5354,664,525,1464
2020-06-01,6083,5734,1599,3305,3714,7712,6000,1569,1323,2378
2020-07-01,4784,3293,891,2139,3085,3766,7301,965,729,1899
2020-08-01,6513,3823,1521,3501,5182,6063,12243,1385,1527,3594
2020-09-01,7726,4352,1325,2842,3018,5223,9956,1357,891,1946
2020-10-01,8267,5269,1449,3907,5709,6931,8864,1233,1272,2717
