"date","Topic 1: Central Banks","Topic 2: News","Topic 3: Emerging Markets","Topic 4: Eurozone","Topic 5: Private Investment","Topic 6: Miscellaneous","Topic 7: Financial Markets","Topic 8: Companies","Topic 9: German Politics","Topic 10: Raw Materials"
2012-07-01,1.43442946903158e-05,1.21024152273283e-05,7.15658954180615e-06,1.74931940887105e-05,1.50895134708647e-05,1.28382993258662e-05,6.52649850606017e-06,4.61911181513531e-06,8.26430514045092e-06,6.14533232394223e-06
2012-08-01,2.14076248403994e-05,1.52068859858318e-05,6.71364352197766e-06,2.04014795822851e-05,1.61769804366521e-05,1.10938166081984e-05,1.17656725623138e-05,5.0667770978655e-06,8.67021915420645e-06,9.69766716208538e-06
2012-09-01,3.04207286433528e-05,1.52381362980711e-05,6.76074050358662e-06,2.1294162900642e-05,1.45282151514814e-05,1.35353669953706e-05,1.23793584779409e-05,7.41511769738692e-06,1.00846989283282e-05,5.49017258352875e-06
2012-10-01,1.27302347230534e-05,1.4262916417315e-05,9.61998803111909e-06,1.84752975596782e-05,1.64090032581954e-05,1.24094022208923e-05,8.87858235255004e-06,4.58142163707693e-06,7.86455216437263e-06,6.97686016357471e-06
2012-11-01,6.79108290458278e-06,1.53922254979789e-05,6.35920227893803e-06,1.34190109061442e-05,2.26996456838881e-05,9.8468782647003e-06,7.52623970290251e-06,4.28809474529054e-06,1.10695803026368e-05,7.17305732459747e-06
2012-12-01,1.01367978698542e-05,1.82167401486574e-05,4.76458995900225e-06,1.32869724940067e-05,1.58236299628936e-05,9.84183769905335e-06,1.00797722368327e-05,4.16680401284596e-06,7.32287784041452e-06,6.45766133939884e-06
2013-01-01,1.58574690758049e-05,2.02660944898135e-05,6.74404615108286e-06,1.67139157758305e-05,1.60234763656777e-05,1.20449607481578e-05,1.16846494712748e-05,6.95910104932719e-06,9.14360606833529e-06,1.12639719071653e-05
2013-02-01,1.57374710549153e-05,1.59611979103322e-05,5.92573833266533e-06,1.55621175736425e-05,1.57737510855234e-05,1.15975164510736e-05,1.08457135945824e-05,5.48836240811146e-06,9.24939224782354e-06,6.07690512686598e-06
2013-03-01,1.18339510176208e-05,8.99505852362614e-06,5.79738024839989e-06,1.44770062726933e-05,1.67552959835137e-05,9.4868940320644e-06,7.68848030364122e-06,4.20825822569513e-06,8.19377027887566e-06,5.53427067549675e-06
2013-04-01,1.26918872206556e-05,1.11704622541417e-05,9.86757530365113e-06,1.85106704259193e-05,1.88393115645194e-05,1.12205091280402e-05,1.06733299734167e-05,6.80637485019385e-06,9.0101055308571e-06,6.81304776671365e-06
2013-05-01,1.34518555124376e-05,1.17149863295253e-05,5.91545112457995e-06,1.48353681016251e-05,1.60711813738588e-05,9.50510541003933e-06,1.30611066865725e-05,5.3134361871227e-06,6.53242295489328e-06,8.15711544138505e-06
2013-06-01,1.23824380291675e-05,1.07051212335254e-05,1.01109960618509e-05,1.5188230379545e-05,1.2715727759619e-05,1.20310347264088e-05,1.11235447538206e-05,5.68766170444498e-06,4.94681659708256e-06,7.0570477708655e-06
2013-07-01,1.21022667252067e-05,1.22869436218954e-05,5.34715858669358e-06,1.66378635365434e-05,1.08179998656649e-05,1.06807629057403e-05,9.42529886494815e-06,4.02561749112292e-06,1.02758291597898e-05,6.4213342977087e-06
2013-08-01,1.28172229202123e-05,1.5108916054844e-05,5.45244895292027e-06,1.03203613123787e-05,1.5019880679681e-05,1.01248705973468e-05,1.05410141986524e-05,4.64532392155082e-06,7.55639357905599e-06,8.28416099343229e-06
2013-09-01,1.14827273302953e-05,1.01156020283542e-05,4.25702940384948e-06,1.11357888105983e-05,8.11085998751058e-06,8.4071642367653e-06,7.00815809787908e-06,2.69111770683877e-06,1.16233780815238e-05,4.91527491959889e-06
2013-10-01,1.09658858983798e-05,1.34695725148207e-05,9.53263970868101e-06,1.3716345804039e-05,1.41706701378318e-05,9.80882968138238e-06,7.74966183757335e-06,5.08091494158911e-06,7.60094415996492e-06,6.1595266692986e-06
2013-11-01,2.02857689630062e-05,1.59126278919616e-05,6.39653470093088e-06,1.38182043149161e-05,2.29522715739285e-05,1.05969002248315e-05,1.28410626094018e-05,4.50944178045818e-06,1.08483846323411e-05,6.77088171974287e-06
2013-12-01,1.40784142794203e-05,1.27659715094676e-05,4.36216527585432e-06,1.51442998816073e-05,1.11424873894105e-05,1.09983462759475e-05,1.12031783845528e-05,5.41667131645215e-06,7.25067732590917e-06,5.44512022042511e-06
2014-01-01,1.50389079723798e-05,1.59872161040435e-05,7.80983527704196e-06,1.1672109509214e-05,1.20498082511615e-05,1.03582864659883e-05,1.11908482089907e-05,6.52444117138217e-06,5.40962069111799e-06,1.01328856038584e-05
2014-02-01,1.25743775759504e-05,1.25292566647335e-05,4.63719910279301e-06,1.40510619430495e-05,9.58614268308471e-06,7.11679826921351e-06,1.27446064682688e-05,3.34304933107148e-06,7.2090910421572e-06,6.12413822244137e-06
2014-03-01,1.31150928786819e-05,1.60177961028931e-05,4.81555307765819e-06,1.0388817553575e-05,1.12653856417565e-05,7.15554416051562e-06,6.39411849069693e-06,4.48869718037017e-06,5.19626591256753e-06,4.69855352351532e-06
2014-04-01,1.70807715059271e-05,1.32722634965854e-05,5.77027655012278e-06,1.30693940419417e-05,1.16723136738801e-05,9.44074967279965e-06,8.89697587684753e-06,4.4610365644842e-06,1.08441043538915e-05,7.73204509090393e-06
